FSCS Key,Library Name,Locale,Service Area Population,Hours/Year,Physical Visits,Reference Transactions,Registered Users,Inter-library Loans to Other Library,Inter-library Loans from Other Library
AL0022,ABBEVILLE MEMORIAL LIBRARY,Rural,"7,514","1,962","9,846","1,085","3,244",0,0
AL0024,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,Town,"9,709","1,576","15,096","5,022","5,312",0,0
AL0025,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,Rural,"5,983","2,311","7,800","1,102","3,691",0,0
AL0026,OZARK - DALE COUNTY PUBLIC LIBRARY,Town,"36,876","1,148","73,618","10,890","12,833",3,10
AL0029,CLIO - ELTON B. STEPHENS LIBRARY,Rural,"3,372",946,"2,560",28,"1,345",0,0
AL0030,LOUISVILLE PUBLIC LIBRARY,Rural,"2,560",900,110,0,195,0,0
AL0031,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,Suburban,"2,377","1,800","12,041",26,"2,263",0,0
AL0032,NEWTON PUBLIC LIBRARY,Rural,"2,079","1,880","6,074",194,"1,073",0,0
AL0033,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,Rural,"4,933","1,250","3,072",415,"1,559",0,0
AL0034,TROY PUBLIC LIBRARY,Town,"26,983","2,236","65,716","12,607","24,723",0,105
AL0035,UNION SPRINGS PUBLIC LIBRARY,Town,"9,976","1,560","4,523",725,"2,625",0,0
AL0037,ANDALUSIA PUBLIC LIBRARY,Town,"17,867","2,080","30,458","18,450","47,773",153,451
AL0038,BRANTLEY PUBLIC LIBRARY,Rural,"3,412",832,"1,200",280,"1,105",0,0
AL0039,ELBA PUBLIC LIBRARY,Rural,"10,013","2,246","17,248","2,860","1,912",0,0
AL0040,GENEVA - EMMA KNOX KENAN LIBRARY,Town,"8,206","1,722","5,726","1,800","7,139",0,0
AL0041,ENTERPRISE PUBLIC LIBRARY,Town,"43,217","2,484","56,748","3,079","32,164",0,11
AL0042,FLORALA PUBLIC LIBRARY,Rural,"6,298","1,952","5,504",60,"3,594",0,0
AL0043,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,Rural,"6,535","2,218","7,996","1,597","1,546",0,0
AL0044,LUVERNE PUBLIC LIBRARY,Rural,"10,269","2,019","19,891",670,"9,000",66,28
AL0045,OPP PUBLIC LIBRARY,Rural,"12,765","2,008","10,191",562,"3,842",418,24
AL0046,SAMSON PUBLIC LIBRARY,Rural,"5,797","1,456","1,720",72,"1,616",0,0
AL0047,SLOCOMB PUBLIC LIBRARY,Rural,"5,873",560,"4,125",225,"1,065",0,0
AL0048,HORSESHOE BEND REGIONAL LIBRARY,Rural,"151,407","2,828","4,000",500,"4,589",769,4
AL0049,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,Town,"14,142","4,836","37,477","9,568","10,645",34,79
AL0050,DADEVILLE PUBLIC LIBRARY,Rural,"3,007","2,128","17,144","4,000","1,804",13,243
AL0051,GOODWATER PUBLIC LIBRARY,Rural,"1,288","2,057","4,213",961,"3,495",14,0
AL0052,AUBURN PUBLIC LIBRARY,City,"68,343","3,387","123,138","43,626","21,620",449,179
AL0053,OPELIKA PUBLIC LIBRARY,City,"31,135","3,011","268,982",759,"11,317",170,366
AL0054,MILLBROOK PUBLIC LIBRARY,Suburban,"16,117","2,808","18,450","3,528","19,584",8,8
AL0055,ROCKFORD PUBLIC LIBRARY,Rural,440,"2,000",550,300,402,0,82
AL0056,TALLASSEE COMMUNITY PUBLIC LIBRARY,Rural,"4,454","2,287","13,268","3,200","2,437",0,4
AL0057,WETUMPKA PUBLIC LIBRARY,Town,"8,431","2,848","27,781","1,601","3,593",35,62
AL0059,FLORENCE - LAUDERDALE PUBLIC LIBRARY,City,"90,402","2,693","98,061","11,440","33,026",0,7
AL0060,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,Suburban,"12,758","1,820","16,900","1,650","5,505",0,0
AL0061,LEIGHTON PUBLIC LIBRARY,Rural,"5,050","1,196","5,979",940,"2,240",0,0
AL0062,MUSCLE SHOALS PUBLIC LIBRARY,City,"19,173","2,288","156,000","28,729","22,997",0,0
AL0063,ROGERSVILLE PUBLIC LIBRARY,Rural,"1,293","1,840","12,804","4,851","3,048",0,0
AL0064,SHEFFIELD PUBLIC LIBRARY,Suburban,"13,135","1,820","16,910","1,610","10,606",0,0
AL0065,NORTHWEST REGIONAL LIBRARY,Rural,"34,266","1,536",0,594,49,133,292
AL0066,HAMILTON - CLYDE NIX PUBLIC LIBRARY,Town,"6,645","1,920","8,106","1,588","1,410",6,4
AL0067,KENNEDY PUBLIC LIBRARY,Rural,421,"1,536",113,162,111,0,8
AL0068,GUIN - MCHS COMMUNITY LIBRARY,Rural,"2,250","1,438",485,537,"1,136",37,4
AL0069,MILLPORT PUBLIC LIBRARY,Rural,970,"1,680",851,339,435,2,0
AL0070,RUSSELLVILLE PUBLIC LIBRARY,Town,"19,078","1,804","15,723","1,356","2,853",0,0
AL0071,SULLIGENT PUBLIC LIBRARY,Rural,"1,834","1,804","1,696",129,770,11,0
AL0072,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,Rural,"1,843","2,097","4,236","3,022",737,3,5
AL0073,RED BAY - WEATHERFORD PUBLIC LIBRARY,Rural,"3,108","1,816","4,760",150,711,4,6
AL0074,WINFIELD PUBLIC LIBRARY,Rural,"4,559","1,937","5,038","3,243","3,717",189,166
AL0076,ATHENS - LIMESTONE PUBLIC LIBRARY,Town,"102,228","2,415","48,113","18,728","7,492",20,13
AL0077,DECATUR PUBLIC LIBRARY,City,"87,765","2,340","72,443","19,988","33,208",6,50
AL0078,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,Suburban,"22,927","1,924","11,807","8,150","5,146",0,0
AL0079,LAWRENCE COUNTY PUBLIC LIBRARY,Rural,"30,608","1,462","16,135","1,130","13,289",1,0
AL0080,BALDWIN COUNTY LIBRARY COOPERATIVE,Town,"102,040","2,780","10,000","4,000","2,316","2,380","2,818"
AL0081,DAPHNE PUBLIC LIBRARY,City,"27,719","3,016","102,903","1,690","14,589",35,33
AL0082,FAIRHOPE PUBLIC LIBRARY,City,"23,584","2,674","156,951","70,116","19,876","8,628","18,770"
AL0083,FOLEY PUBLIC LIBRARY,Town,"21,446","2,266","137,258","51,471","16,302",52,23
AL0084,BAY MINETTE PUBLIC LIBRARY,Town,"9,509","2,436","21,809","12,800","6,168",237,132
AL0085,LOXLEY PUBLIC LIBRARY,Suburban,"3,329","1,377","5,633",196,"1,175",21,0
AL0086,OSCAR JOHNSON MEMORIAL LIBRARY,Town,"1,285",910,"1,848",10,200,0,0
AL0087,ROBERTSDALE PUBLIC LIBRARY,Town,"7,030","2,200","55,534","10,268","6,174",102,0
AL0088,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,Town,"13,166","2,080","39,971","11,108","11,447",129,8
AL0090,ADAMSVILLE PUBLIC LIBRARY,Suburban,"4,211","2,080","5,078","2,566","1,634","2,611","2,329"
AL0091,BESSEMER PUBLIC LIBRARY,Suburban,"26,043","2,860","20,798","14,054","12,457","5,000","1,892"
AL0092,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,Suburban,"20,034","3,056","147,398","135,484","10,022","25,442","21,143"
AL0093,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,Suburban,"10,457",960,"1,200",137,"2,913",402,500
AL0094,FULTONDALE PUBLIC LIBRARY,Suburban,"9,269","2,293","45,000","3,750","2,939","1,852","2,179"
AL0095,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,Suburban,"14,113","2,614","58,579","5,857","8,240","2,727","13,396"
AL0096,GRAYSVILLE PUBLIC LIBRARY,Suburban,"2,066","2,080","13,650","2,990","1,216",990,"5,290"
AL0097,HOMEWOOD PUBLIC LIBRARY,Suburban,"25,174","3,258","121,097","65,306","18,840","24,956","25,918"
AL0098,HOOVER PUBLIC LIBRARY,City,"85,959","3,344","339,476","25,131","46,035","31,011","58,049"
AL0099,HUEYTOWN PUBLIC LIBRARY,Suburban,"15,202","2,008","12,701","2,412","4,207","2,631","3,416"
AL0100,IRONDALE PUBLIC LIBRARY,Suburban,"13,226","2,025","12,720","2,125","3,373","9,658","8,660"
AL0101,LEEDS - JANE CULBRETH LIBRARY,Suburban,"12,026","1,832","10,840","13,304","4,830","4,583","9,560"
AL0102,MIDFIELD PUBLIC LIBRARY,Suburban,"4,955","1,232","3,232",324,"2,325",270,94
AL0103,PLEASANT GROVE PUBLIC LIBRARY,Suburban,"9,578","2,024","19,040","4,859","2,576","2,514","1,658"
AL0104,TARRANT PUBLIC LIBRARY,Suburban,"6,081","1,972","10,244",728,"1,463","4,671","2,052"
AL0105,TRUSSVILLE PUBLIC LIBRARY,Suburban,"23,048","3,016","57,891","25,256","10,014","17,357","19,786"
AL0106,VESTAVIA HILLS LIBRARY IN THE FOREST,Suburban,"34,317","3,027","282,470","32,785","17,971","23,325","22,085"
AL0107,WARRIOR PUBLIC LIBRARY,Rural,"3,190","2,444","12,602",520,"3,111","2,049","4,570"
AL0108,BIRMINGHAM PUBLIC LIBRARY,City,"206,950","34,326","632,417","267,596","107,914","85,476","40,597"
AL0109,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,Town,"58,724","2,088","15,807","59,559","26,691",107,7
AL0110,COLLINSVILLE PUBLIC LIBRARY,Rural,"1,938","1,434","3,500",200,"1,265",0,33
AL0111,GERALDINE PUBLIC LIBRARY,Rural,896,"1,664","2,655","1,666","2,976",0,0
AL0112,RAINSVILLE PUBLIC LIBRARY,Rural,"5,149","2,200","16,162",824,"12,009",18,1
AL0113,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,Town,"20,814","1,560",0,359,422,636,0
AL0114,ATMORE PUBLIC,Town,"8,949","2,250","35,000","13,171","13,544",0,0
AL0115,BREWTON PUBLIC LIBRARY,Town,"5,141","2,548","19,136",814,"20,694",0,0
AL0116,FLOMATON PUBLIC LIBRARY,Town,"1,377","1,764","6,714","64,979","8,112",0,0
AL0117,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,City,"66,102","6,708","89,179","2,229","14,343",97,556
AL0118,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,Suburban,"5,832","2,093","8,750","1,390","7,999",0,0
AL0119,RAINBOW CITY PUBLIC LIBRARY,Suburban,"9,603","2,752","44,608","4,060","9,506",11,1
AL0121,DEMOPOLIS PUBLIC LIBRARY,Town,"11,710","2,829","30,087","17,750","4,813",248,77
AL0122,MARENGO COUNTY PUBLIC LIBRARY,Rural,"7,023","1,701","5,291","1,560","1,349",0,2
AL0123,MARSHALL COUNTY COOPERATIVE LIBRARY,Rural,"47,523","1,700","4,542","13,802","1,500",0,0
AL0124,ARAB PUBLIC LIBRARY,Town,"8,406","2,080","13,200","1,832","16,741",0,27
AL0125,BOAZ PUBLIC LIBRARY,Town,"9,706","2,704","36,044","7,900","19,272",0,0
AL0126,GUNTERSVILLE PUBLIC LIBRARY,Town,"8,676","2,340","31,200","7,800","10,832",32,112
AL0127,ALBERTVILLE PUBLIC LIBRARY,Town,"21,777","2,080","12,032",52,"15,439",0,0
AL0128,HARRISON REGIONAL LIBRARY SYSTEM,Town,"46,094","1,974",476,902,914,"1,417","18,690"
AL0129,ALABASTER - ALBERT L. SCOTT LIBRARY,Suburban,"33,701","3,012","48,180","12,374","13,022","6,222","4,581"
AL0130,CALERA PUBLIC LIBRARY,Rural,"15,248","2,808","19,344","12,073","7,725","4,601","3,217"
AL0131,COLUMBIANA PUBLIC LIBRARY,Town,"4,682","2,496","14,528","5,728","4,698","5,705","4,280"
AL0132,HELENA - JANE B. HOLMES PUBLIC LIBRARY,Suburban,"20,374","2,233","20,227","12,136","6,795","5,265","2,640"
AL0133,VINCENT - LALLOUISE F. MCGRAW LIBRARY,Rural,"2,223","1,500","2,909",62,638,391,327
AL0134,MONTEVALLO - PARNELL MEMORIAL LIBRARY,Suburban,"7,098","1,865","20,529","8,000","4,750","3,224","2,070"
AL0135,PELHAM PUBLIC LIBRARY,Suburban,"24,231","2,900","132,757","17,899","13,982","5,339","7,613"
AL0136,WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,Rural,"2,069","1,440","1,800",25,574,641,673
AL0137,NORTH SHELBY LIBRARY,Suburban,"51,100","4,962","61,735","15,456","20,426","13,714","6,969"
AL0140,ALICEVILLE PUBLIC LIBRARY,Rural,"2,231","1,500","5,700",887,"1,572",18,15
AL0141,CARROLLTON PUBLIC LIBRARY,Rural,935,"2,330","6,760","9,010","5,410",9,8
AL0142,GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,Rural,"1,594","1,521","3,956",250,"3,588",6,9
AL0143,REFORM PUBLIC LIBRARY,Rural,"1,546","1,536","3,840","1,920","3,648",4,12
AL0145,MCCAIN MEMORIAL PUBLIC LIBRARY,Rural,"9,153","1,509","5,773",346,"3,191",1,10
AL0146,MOODY - DORIS STANLEY MEMORIAL LIBRARY,Suburban,"20,049","2,232","12,363",754,"6,481",0,60
AL0147,ODENVILLE PUBLIC LIBRARY,Rural,"10,642","1,664","7,680",769,"1,409",0,0
AL0148,PELL CITY PUBLIC LIBRARY,Town,"23,428","2,704","58,125","5,110","14,914",135,810
AL0151,YORK - HIGHTOWER MEMORIAL LIBRARY,Rural,"5,654",832,"5,733",12,731,0,0
AL0152,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,Rural,"6,571","2,236","9,854",416,"2,679",214,11
AL0154,ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,City,"72,914","3,835","80,775","47,252","26,667",21,10
AL0155,JACKSONVILLE PUBLIC LIBRARY,Suburban,"12,972","2,312","33,826","7,280","6,438",188,6
AL0156,PIEDMONT PUBLIC LIBRARY,Town,"4,470","1,808","36,200","25,200","1,626",0,0
AL0157,AKRON PUBLIC LIBRARY,Rural,"1,739",832,312,0,5,0,0
AL0158,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,City,"106,580","6,698","283,841","12,987","55,235",0,0
AL0159,BLOUNTSVILLE PUBLIC LIBRARY,Rural,"14,062","2,288","23,000",550,"8,149",0,0
AL0160,CHEROKEE PUBLIC LIBRARY,Rural,"5,295","1,020","1,150",110,"2,377",0,0
AL0161,BRENT - CENTREVILLE PUBLIC LIBRARY,Town,"18,280","1,930","15,658","2,925","6,756",0,0
AL0162,CHILTON - CLANTON PUBLIC LIBRARY,Town,"44,397","5,824","26,356",210,"12,012",0,0
AL0163,CHOCTAW COUNTY PUBLIC LIBRARY,Rural,"12,418","1,800","4,281",133,"3,182",1,0
AL0164,CITRONELLE MEMORIAL LIBRARY,Rural,"3,873","1,358","7,910",989,"2,196",0,0
AL0165,GROVE HILL PUBLIC LIBRARY,Rural,"6,121","2,080","3,892",917,"3,978",0,0
AL0166,HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,City,"379,453","22,547","1,132,739","163,008","143,886",153,369
AL0167,EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY,Rural,"7,990","1,805","2,350","1,867","1,711",0,0
AL0168,GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,Town,"19,504","2,366","15,600","6,703","10,453",0,0
AL0169,HALE COUNTY LIBRARY,Rural,"6,310","1,440","4,023","1,596","5,177",0,1
AL0170,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,Suburban,"5,659","1,931","4,763","3,835","1,139",184,194
AL0171,JACKSON - WHITE SMITH MEMORIAL LIBRARY,Town,"8,993","2,096","8,097","2,672","12,643",0,8
AL0172,MARION - PERRY COUNTY PUBLIC LIBRARY,Rural,"5,142","1,372","4,277","2,146","4,204",0,0
AL0173,WOODVILLE PUBLIC LIBRARY,Rural,719,"1,632","3,181","1,509","1,124",0,0
AL0174,CITY OF BAYOU LA BATRE PUBLIC LIBRARY,Rural,"2,457","2,288","25,000",423,"8,641",0,0
AL0175,SCOTTSBORO PUBLIC LIBRARY,Town,"36,784","2,192","34,271","4,590","8,019",0,0
AL0176,ONEONTA PUBLIC LIBRARY,Town,"43,817","2,337","30,370","9,214","22,165",57,49
AL0177,THOMASVILLE PUBLIC LIBRARY,Rural,"8,177","2,496","37,302","11,480","7,659",0,0
AL0178,MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,Town,"17,895",850,175,200,"5,316",0,0
AL0179,MOUNDVILLE PUBLIC LIBRARY,Town,"5,789","2,080","7,000",402,"4,491",0,0
AL0180,UNIONTOWN PUBLIC LIBRARY,Rural,"3,545","2,080",500,126,850,0,0
AL0181,PRICHARD PUBLIC LIBRARY,Suburban,"21,294","2,340","1,300",364,"29,720",0,0
AL0182,WASHINGTON COUNTY PUBLIC LIBRARY,Rural,"15,976","3,030","30,943","7,350","10,754",0,0
AL0184,EVERGREEN PUBLIC LIBRARY,Town,"11,851","2,224","6,892",574,"8,337",0,0
AL0186,MOBILE PUBLIC LIBRARY,City,"371,723","23,338","607,307","92,779","154,580","1,406",466
AL0187,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY,City,"224,639","26,591","255,556","51,222","135,039",322,312
AL0188,WHITE HALL PUBLIC LIBRARY,Rural,"2,053",688,156,5,125,0,0
AL0189,STEVENSON PUBLIC LIBRARY,Rural,"5,097","1,716","3,536","1,500","4,065",0,0
AL0190,KILLEN PUBLIC LIBRARY,Suburban,962,"2,104","4,576",780,"3,084",0,0
AL0191,LEXINGTON - BURCHELL CAMPBELL MEMORIAL LIBRARY,Rural,711,"1,992","2,841","4,000","2,038",0,0
